locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Xiphophorus_maculatus.X_maculatus.5.0.male.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Oryzias_melastigma.Om_v0.7.RACA.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Lepisosteus_oculatus.LepOcu1.pep.all.vs.Indian.medaka.pep.all.txt.RBH,Danio_rerio.GRCz11.pep.all.vs.Indian.medaka.pep.all.txt.RBH,geneID,diffexpressed,Entrenz_id,Species,gene_name,gene
FQA47_000360,10.94031589,-2.049727758,0.89690091,-2.285344719,0.022292623,0.436453085,ENSXMAG00000013076,ENSOMEG00000020942,ENSLOCG00000001773,ENSDARG00000045306,ENSOMEG00000020942,DOWN,112142764,Oryzias melastigma,organic solute transporter subunit alpha(LOC112142764),LOC112142764
FQA47_010139,266.8436787,0.735534101,0.271757785,2.70657969,0.006798026,0.249645585,ENSXMAG00000002326,ENSOMEG00000006515,ENSLOCG00000001656,ENSDARG00000016936,ENSOMEG00000006515,UP,112150571,Oryzias melastigma,hemicentin 1(hmcn1),hmcn1
FQA47_016662,26.73880348,-0.775718753,0.375291174,-2.066978405,0.038736189,0.542563034,ENSXMAG00000018037,ENSOMEG00000005733,ENSLOCG00000005023,ENSDARG00000042659,ENSOMEG00000005733,DOWN,112149169,Oryzias melastigma,thymocyte nuclear protein 1(thyn1),thyn1
FQA47_021509,129.2135482,0.461752032,0.170959127,2.700949873,0.006914176,0.252743123,ENSXMAG00000018319,ENSOMEG00000006697,ENSLOCG00000014348,ENSDARG00000052558,ENSOMEG00000006697,UP,112140019,Oryzias melastigma,protein-serine O-palmitoleoyltransferase porcupine(LOC112140019),LOC112140019
FQA47_021543,26.6868767,-1.148392882,0.455980902,-2.518510923,0.011785223,0.327520075,ENSXMAG00000005048,ENSOMEG00000019735,ENSLOCG00000002237,ENSDARG00000035958,ENSOMEG00000019735,DOWN,112152909,Oryzias melastigma,"troponin I, fast skeletal muscle(LOC112152909)",LOC112152909
FQA47_024462,474.458461,0.613115842,0.228787388,2.679849827,0.00736552,0.262243391,ENSXMAG00000005610,ENSOMEG00000019847,ENSLOCG00000002838,ENSDARG00000061450,ENSOMEG00000019847,UP,112150976,Oryzias melastigma,testis associated actin remodelling kinase 2(tesk2),tesk2
FQA47_004300,41.81097808,0.794797928,0.296622963,2.679488871,0.007373465,0.262243391,ENSXMAG00000001869,ENSOMEG00000016483,ENSLOCG00000012735,ENSDARG00000060176,ENSOMEG00000016483,UP,112155976,Oryzias melastigma,tRNA methyltransferase 10B(trmt10b),trmt10b
FQA47_015522,22.00818853,-1.043851272,0.467484906,-2.232909037,0.025554944,0.459981589,ENSXMAG00000022573,ENSOMEG00000022636,ENSLOCG00000011744,ENSDARG00000099824,ENSOMEG00000022636,DOWN,112155171,Oryzias melastigma,nothepsin(nots),nots
FQA47_000356,688.8154475,0.332967798,0.124841801,2.667117866,0.007650484,0.267967422,ENSXMAG00000009241,ENSOMEG00000004103,ENSLOCG00000014565,ENSDARG00000053668,ENSOMEG00000004103,UP,112142609,Oryzias melastigma,STAG2 cohesin complex component a(stag2a),stag2a
FQA47_001750,433.7529515,0.426932391,0.160168944,2.665512921,0.007687098,0.268509162,ENSXMAG00000026296,ENSOMEG00000013074,ENSLOCG00000015421,ENSDARG00000006038,ENSOMEG00000013074,UP,112152673,Oryzias melastigma,AE binding protein 2(aebp2),aebp2
FQA47_022656,438.3565574,0.312309696,0.118620089,2.632856691,0.008467006,0.279962452,ENSXMAG00000009821,ENSOMEG00000007798,ENSLOCG00000004336,ENSDARG00000031637,ENSOMEG00000007798,UP,112151301,Oryzias melastigma,poly(A) specific ribonuclease subunit PAN3(pan3),pan3
FQA47_011199,22.04264273,-1.130881922,0.477844409,-2.366632112,0.017950766,0.397074704,ENSXMAG00000016727,ENSOMEG00000010143,ENSLOCG00000013255,ENSDARG00000024771,ENSOMEG00000010143,DOWN,112160900,Oryzias melastigma,solute carrier family 24 member 5(slc24a5),slc24a5
FQA47_000104,584.5462736,0.317204866,0.120953089,2.622544558,0.008727585,0.284869287,ENSXMAG00000011697,ENSOMEG00000000766,ENSLOCG00000009711,ENSDARG00000007996,ENSOMEG00000000766,UP,112154842,Oryzias melastigma,POU class 2 homeobox 1b(pou2f1b),pou2f1b
FQA47_001234,21.49176954,-0.953904673,0.433549761,-2.20021958,0.02779132,0.475881844,ENSXMAG00000027010,ENSOMEG00000003222,ENSLOCG00000005217,ENSDARG00000004251,ENSOMEG00000003222,DOWN,112137767,Oryzias melastigma,dihydrofolate reductase(dhfr),dhfr
FQA47_002108,24.82145808,-0.978745123,0.451757947,-2.166525526,0.030271051,0.492448158,ENSXMAG00000005050,ENSOMEG00000003841,ENSLOCG00000007725,ENSDARG00000095577,ENSOMEG00000003841,DOWN,112155164,Oryzias melastigma,cytochrome b reductase 1(LOC112155164),LOC112155164
FQA47_009444,614.5697775,0.29387991,0.112642978,2.60895012,0.009082048,0.290831685,ENSXMAG00000017933,ENSOMEG00000002003,ENSLOCG00000008118,ENSDARG00000020258,ENSOMEG00000002003,UP,112148175,Oryzias melastigma,EWS RNA-binding protein 1b(ewsr1b),ewsr1b
FQA47_013638,28.0693558,-0.745100058,0.370952972,-2.008610564,0.04457845,0.579041004,ENSXMAG00000006280,ENSOMEG00000014317,ENSLOCG00000017597,ENSDARG00000036060,ENSOMEG00000014317,DOWN,112152264,Oryzias melastigma,exosome component 6(exosc6),exosc6
FQA47_025559,235.938842,0.485467547,0.18624312,2.606633449,0.009143719,0.292069924,ENSXMAG00000026540,ENSOMEG00000001753,ENSLOCG00000014444,ENSDARG00000078894,ENSOMEG00000001753,UP,112144640,Oryzias melastigma,HemK methyltransferase family member 1(hemk1),hemk1
FQA47_023629,23.42138531,-1.066215591,0.482413766,-2.210168256,0.027093487,0.470274787,ENSXMAG00000028123,ENSOMEG00000008619,ENSLOCG00000006741,ENSDARG00000062382,ENSOMEG00000008619,DOWN,112162477,Oryzias melastigma,SNAP associated protein(snapin),snapin
FQA47_009051,33.8216503,-0.915461783,0.351350739,-2.605549619,0.009172699,0.292627525,ENSXMAG00000008416,ENSOMEG00000001188,ENSLOCG00000011912,ENSDARG00000062251,ENSOMEG00000001188,DOWN,112151450,Oryzias melastigma,F-box and leucine-rich repeat protein 7(LOC112151450),LOC112151450
FQA47_006194,60.95451965,0.621097261,0.238429483,2.604951592,0.009188724,0.292770967,ENSXMAG00000009579,ENSOMEG00000014334,ENSLOCG00000012223,ENSDARG00000070461,ENSOMEG00000014334,UP,112160785,Oryzias melastigma,CDAN1 interacting nuclease 1(cdin1),cdin1
FQA47_014372,27.01467878,-0.945649838,0.418926285,-2.257317988,0.023988212,0.447909309,ENSXMAG00000005307,ENSOMEG00000012055,ENSLOCG00000012064,ENSDARG00000037038,ENSOMEG00000012055,DOWN,112157647,Oryzias melastigma,"proteasome 26S subunit, ATPase 6(psmc6)",psmc6
FQA47_018009,1159.829149,0.491764095,0.189478974,2.595349152,0.009449487,0.296190704,ENSXMAG00000008854,ENSOMEG00000017273,ENSLOCG00000008430,ENSDARG00000021455,ENSOMEG00000017273,UP,112154833,Oryzias melastigma,interleukin enhancer binding factor 3b(ilf3b),ilf3b
FQA47_007637,328.4613046,0.316116628,0.121818019,2.594990726,0.009459347,0.296190704,ENSXMAG00000005621,ENSOMEG00000015719,ENSLOCG00000005707,ENSDARG00000052025,ENSOMEG00000015719,UP,112150445,Oryzias melastigma,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)(pomgnt1)",pomgnt1
FQA47_019521,505.0771429,0.440001368,0.170155846,2.585872766,0.009713278,0.301908173,ENSXMAG00000012467,ENSOMEG00000018419,ENSLOCG00000010348,ENSDARG00000006301,ENSOMEG00000018419,UP,112137933,Oryzias melastigma,ras-associated and pleckstrin homology domains-containing protein 1(LOC112137933),LOC112137933
FQA47_002526,35.32321931,-0.951171313,0.371838726,-2.558021116,0.01052697,0.312657164,ENSXMAG00000027949,ENSOMEG00000003638,ENSLOCG00000004163,ENSDARG00000058865,ENSOMEG00000003638,DOWN,112148117,Oryzias melastigma,endonuclease G(endog),endog
FQA47_009515,40.74691471,-0.946756122,0.326717349,-2.897783434,0.0037581,0.184948042,ENSXMAG00000018159,ENSOMEG00000002157,ENSLOCG00000004731,ENSDARG00000035595,ENSOMEG00000002157,DOWN,112148268,Oryzias melastigma,FIC domain protein adenylyltransferase(ficd),ficd
FQA47_025030,40.51887144,-0.629604172,0.316485424,-1.989362303,0.046661227,0.587651854,ENSXMAG00000009102,ENSOMEG00000014209,ENSLOCG00000017544,ENSDARG00000029179,ENSOMEG00000014209,DOWN,112162833,Oryzias melastigma,forkhead box D1(foxd1),foxd1
FQA47_011059,359.7791949,0.49286941,0.190874288,2.582167638,0.009818188,0.302689913,ENSXMAG00000008244,ENSOMEG00000001056,ENSLOCG00000012189,ENSDARG00000055843,ENSOMEG00000001056,UP,112151493,Oryzias melastigma,"cadherin 10, type 2a (T2-cadherin)(cdh10a)",cdh10a
FQA47_001536,29.49463468,-0.987719243,0.411910795,-2.397895986,0.016489547,0.384948168,ENSXMAG00000027722,ENSOMEG00000016238,ENSLOCG00000001735,ENSDARG00000089094,ENSOMEG00000016238,DOWN,112152998,Oryzias melastigma,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2(LOC112152998)",LOC112152998
FQA47_022320,19.42569263,1.244821481,0.482701092,2.578866097,0.00991252,0.303834684,ENSXMAG00000004897,ENSOMEG00000010117,ENSLOCG00000007115,ENSDARG00000088411,ENSOMEG00000010117,UP,112137489,Oryzias melastigma,notum pectinacetylesterase 2(notum2),notum2
FQA47_000853,763.7905052,0.347311548,0.134764849,2.577167206,0.009961375,0.303919392,ENSXMAG00000001438,ENSOMEG00000002601,ENSLOCG00000004044,ENSDARG00000008097,ENSOMEG00000002601,UP,112163197,Oryzias melastigma,serine and arginine rich splicing factor 9(srsf9),srsf9
